Farms,year,Treat,Latitude,Longitude,NDWI avg,NDWI 1,NDWI 2,NDWI 3,rootknot,spiral,Nem_total
Turf Farm,2023,IC,31.23740,-83.62408,0.4973077,0.390457751,0.575641478,0.525823872,241,647,888
Greg Carpenter,2023,DR,31.45716,-83.54722,0.399407477,0.506378305,0.587306292,0.104537834,16,159,175
Padgett 1,2023,IC,31.17050,-83.32465,0.557279201,0.566197567,0.560863626,0.54477641,253,0,253
Bo Hand,2023,DR,31.42733,-83.38534,0.409995938,0.368881431,0.413060177,0.448046206,119,1,120
Greg Nash Isabella,2023,IR,31.38935,-83.54804,0.404170239,0.359367452,0.430774073,0.422369193,250,0,250
Folsom Irrg 2,2023,IR,31.23560,-83.37536,0.457254013,0.525439307,0.419706012,0.426616719,235,2,237
S Patterson 2,2023,DC,31.44841,-83.76947,0.476810277,0.458714648,0.485858092,0.485858092,118,0,118
Bo New Ground Shop,2023,DC,31.42849,-83.38058,0.397189375,0.389696143,0.423903563,0.377968419,0,1,1
Folsom Irrg 1,2023,IR,31.17588,-83.34153,0.441344635,0.476378654,0.422936267,0.424718984,0,231,231
Parish Dry2,2023,IC,31.31907,-83.45784,0.390201585,0.404329734,0.389887051,0.37638797,247,1,248
Jackson,2023,IC,31.30109,-83.76302,0.526384634,0.522964435,0.531550301,0.524639166,74,77,151
Folsom Dry 1,2023,DR,31.23789,-83.38439,0.484720034,0.478459093,0.487631304,0.488069705,254,32,286
Tucker,2023,DR,31.23979,-83.87956,0.303354815,0.282986664,0.302563312,0.324514469,4,0,4
S Patterson 1,2023,IC,31.44838,-83.75139,0.484573881,0.492034394,0.529429817,0.432257431,0,0,0
Norman Park,2023,DC,31.22414,-83.66727,0.487986414,0.502054928,0.518548661,0.443355652,0,0,0
Padgett 2,2023,IR,31.31688,-83.46453,0.472596545,0.576211294,0.556286978,0.285291363,67,570,637
Chris Smith,2023,IR,31.41177,-83.45164,0.484015246,0.498453612,0.474400845,0.479191282,231,112,343
Folsom Dry 2,2023,DR,31.23198,-83.38273,0.47585814,0.415780439,0.535328114,0.476465866,2,5,7
Quincy ,2023,DC,31.20464,-83.76521,0.327618643,0.238527488,0.26112192,0.48320652,4,0,4
Chris New Ground 82,2023,DC,31.42359,-83.40921,0.271768983,0.24721323,0.228531929,0.33956179,0,1,1
