"","farms","treat","year","rootknot","spiral"
"1","Greg Carpenter","DR",2023,16,159
"2","Padgett 1","IC",2023,253,0
"3","Bo Hand","DR",2023,119,1
"4","Greg Nash Isabella","IR",2023,250,0
"5","Folsom Irrg 2","IR",2023,235,2
"6","S Patterson 2","DC",2023,118,0
"7","Bo New Ground Shop","DC",2023,0,1
"8","Folsom Irrg 1","IR",2023,0,231
"9","Parish Dry2","IC",2023,247,1
"10","Jackson","IC",2023,74,77
"11","Folsom Dry 1","DR",2023,254,32
"12","Tucker","DR",2023,4,0
"13","S Patterson 1","IC",2023,0,0
"14","Norman Park","DC",2023,0,0
"15","Padgett 2","IR",2023,67,570
"16","Chris Smith","IR",2023,231,112
"17","Folsom Dry 2","DR",2023,2,5
"18","Quincy","DC",2023,4,0
"19","Chris New Ground 82","DC",2023,0,1
"20","shotgun_left","DC",2024,3,0
"21","shotgun_right","DC",2024,0,0
"22","82rd","DC",2024,1,32
"23","319_church","DC",2024,111,1
"24","cool_spring","DC",2024,127,0
"25","stone_bridge","DR",2024,245,26
"26","oj","IC",2024,264,0
"27","dry_chick","IC",2024,16,137
"28","porters","IC",2024,6,23
"29","porters_left","IC",2024,49,100
"30","tri_site","IC",2024,0,0
"31","porter_corner","IC",2024,5,8
"32","sears","IC",2024,87,0
"33","ew_booth","IR",2024,0,1
"34","upper_tyty","IR",2024,1278,8
"35","tyty_sparks","IR",2024,343,1
"36","jacob_hall","IR",2024,188,0
