Lab Sample #     (2023)	Grower ID #	Meloidogyne     Root-knot	Paratrichodorus     Stubby root	Mesocriconema, etc.     Ring	Helicotylenchus     Spiral
3903	"'101"	241	0	3	647
3904	"'102"	16	0	0	159
3905	"'103"	253	0	0	0
3906	"'104"	119	0	0	1
3907	"'105"	250	0	0	0
3908	"'106"	235	0	2	2
3909	"'107"	118	3	2	0
3910	"'108"	0	0	0	1
3911	"'109"	0	1	1	231
3912	"'110"	247	0	1	1
3913	"'111"	74	0	0	77
3914	"'112"	254	1	0	32
3915	"'113"	4	0	0	0
3916	"'114"	0	1	4	0
3917	"'115"	0	0	2	0
3918	"'116"	67	2	0	570
3919	"'117"	231	0	0	112
3920	"'118"	2	0	3	5
3921	"'119"	4	0	0	0
3922	"'120"	0	0	5	1
