samp_id,NDWI,sample,farm,sample_num
Bo-Hand Farm_1_dvac,0.3688814306791835,dvac,Bo-Hand Farm,1
Bo-Hand Farm_1_sweep,0.3688814306791835,sweep,Bo-Hand Farm,1
Bo-Hand Farm_2_dvac,0.41306017659677635,dvac,Bo-Hand Farm,2
Bo-Hand Farm_2_sweep,0.41306017659677635,sweep,Bo-Hand Farm,2
Bo-Hand Farm_3_dvac,0.44804620597409983,dvac,Bo-Hand Farm,3
Bo-Hand Farm_3_sweep,0.44804620597409983,sweep,Bo-Hand Farm,3
Bo-New Ground Shop_1_dvac,0.38969614275702635,dvac,Bo-New Ground Shop,1
Bo-New Ground Shop_1_sweep,0.38969614275702635,sweep,Bo-New Ground Shop,1
Bo-New Ground Shop_2_dvac,0.42390356342436175,dvac,Bo-New Ground Shop,2
Bo-New Ground Shop_2_sweep,0.42390356342436175,sweep,Bo-New Ground Shop,2
Bo-New Ground Shop_3_dvac,0.3779684185425053,dvac,Bo-New Ground Shop,3
Bo-New Ground Shop_3_sweep,0.3779684185425053,sweep,Bo-New Ground Shop,3
Chris-New Ground 82_1_dvac,0.24721322955411673,dvac,Chris-New Ground 82,1
Chris-New Ground 82_1_sweep,0.24721322955411673,sweep,Chris-New Ground 82,1
Chris-New Ground 82_2_dvac,0.2285319287874878,dvac,Chris-New Ground 82,2
Chris-New Ground 82_2_sweep,0.2285319287874878,sweep,Chris-New Ground 82,2
Chris-New Ground 82_3_dvac,0.3395617897227581,dvac,Chris-New Ground 82,3
Chris-New Ground 82_3_sweep,0.3395617897227581,sweep,Chris-New Ground 82,3
Chris-Smith Farm_1_dvac,0.4984536122355278,dvac,Chris-Smith Farm,1
Chris-Smith Farm_1_sweep,0.4984536122355278,sweep,Chris-Smith Farm,1
Chris-Smith Farm_2_dvac,0.4744008450727141,dvac,Chris-Smith Farm,2
Chris-Smith Farm_2_sweep,0.4744008450727141,sweep,Chris-Smith Farm,2
Chris-Smith Farm_3_dvac,0.4791912817418288,dvac,Chris-Smith Farm,3
Chris-Smith Farm_3_sweep,0.4791912817418288,sweep,Chris-Smith Farm,3
Folsom Dry1_1_dvac,0.4784590934176972,dvac,Folsom Dry1,1
Folsom Dry1_1_sweep,0.4784590934176972,sweep,Folsom Dry1,1
Folsom Dry1_2_dvac,0.48763130403310057,dvac,Folsom Dry1,2
Folsom Dry1_2_sweep,0.5294656742646076,sweep,Folsom Dry1,2
Folsom Dry1_3_dvac,0.4880697046256882,dvac,Folsom Dry1,3
Folsom Dry1_3_sweep,0.22098989943880604,sweep,Folsom Dry1,3
Folsom Dry2_1_dvac,0.41578043944795884,dvac,Folsom Dry2,1
Folsom Dry2_1_sweep,0.41578043944795884,sweep,Folsom Dry2,1
Folsom Dry2_2_dvac,0.5353281137001098,dvac,Folsom Dry2,2
Folsom Dry2_2_sweep,0.5353281137001098,sweep,Folsom Dry2,2
Folsom Dry2_3_dvac,0.47646586620895176,dvac,Folsom Dry2,3
Folsom Dry2_3_sweep,0.5495900464893793,sweep,Folsom Dry2,3
Folsom Irrig1_1_dvac,0.47637865351816333,dvac,Folsom Irrig1,1
Folsom Irrig1_1_sweep,0.47637865351816333,sweep,Folsom Irrig1,1
Folsom Irrig1_2_dvac,0.42293626714500987,dvac,Folsom Irrig1,2
Folsom Irrig1_2_sweep,0.42293626714500987,sweep,Folsom Irrig1,2
Folsom Irrig1_3_dvac,0.4247189840869252,dvac,Folsom Irrig1,3
Folsom Irrig1_3_sweep,0.41805850278969514,sweep,Folsom Irrig1,3
Folsom Irrig2_1_dvac,0.5254393067424035,dvac,Folsom Irrig2,1
Folsom Irrig2_1_sweep,0.5254393067424035,sweep,Folsom Irrig2,1
Folsom Irrig2_2_dvac,0.41970601248881356,dvac,Folsom Irrig2,2
Folsom Irrig2_2_sweep,0.14371982480736795,sweep,Folsom Irrig2,2
Folsom Irrig2_3_dvac,0.42661671857091765,dvac,Folsom Irrig2,3
Folsom Irrig2_3_sweep,0.42661671857091765,sweep,Folsom Irrig2,3
